State,State Funding Types,State Prioritization,Facility Assessment Requirements,Equity Measures
Alabama,Provides grants for capital construction using bond issues. ,"No statewide priorities, but each district develops a five-year capital plan.",Districts are required to conduct assessments.,None 
Alaska,Offers a grant program and debt reimbursement. Local contributions range from 2 percent to 35 percent for grants  and from 30 percent to 40 percent for reimbursement.,"Maintains two application lists: construction and maintenance. Projects are prioritized based on 18 evaluative criteria, including safety considerations, planning and design status, number of students in excess of capacity, age of buildings, and more. List rank is strongly influenced by facility condition and age. ",No requirement,The state’s grant share amount is tied to the per student assessed property valuation in the municipality and in unincorporated areas.
Arizona,Local school bonds and state grant funding.,Bases new school funding eligibility on the annual evaluation and approval of district enrollment projections and the additional square footage needed to maintain adequacy standards.,"State has conducted assessment, and required districts to assess.",Funding amount determined by grade level and by needed student capacity.
Arkansas,Provides grant support though Academic Facilities Partnership Program and  shares cost with the districts.,"Prioritizes in order: 1. new facilities, add-ons, or conversions needed for space; 2. “Warm, Safe, and Dry” space; 3. “Warm, Safe, and Dry” systems; 4. consolidations and annexations.",Districts are required to conduct assessments,"Cost share is determined by local district wealth, and the ranking incorporates building age and student population growth rate."
California,"Provides matching grants for land purchases, buildings, and modernization. State funds 50 percent of new construction and 60 percent of modernization",“First-come first-served” policy. Eligibility is determined by enrollment projections or building age,No requirement.  ,Offers hardship funding for districts with demonstrated financial or facility hardship and  supplemental grants for small schools or schools in remote or difficult-to-contract areas.
Colorado,"Provides matching grants based on factors including district wealth, median household income, share of students receiving Free and Reduced Price Lunch, bond capacity, and bond election history. State matches at a 50 percent rate state wide.","Grant priorities are in order: 1. Safety or health concerns, including school facility security and incorporation of technology; 2. relief of overcrowding; 3. provision of career and technical education facilities; 4. removal of prohibited American Indian mascots; 5. all other projects.",State conducts assessment.,Districts with more students from low-income households or with lower property valuations get a higher state match rate.
Connecticut,"Provides matching grants to local school districts between 10 and 70 percent for new construction and between 20 to 80 percent for renovations. Additional bonus reimbursement rates are provided for K-12 regional school districts, inter-district cooperatives, school readiness, lighthouse schools, increasing seats for the inter-district Open Choice program, reduction of K-3 class sizes, and for full day kindergarten in priority school districts and schools.","Catastrophic damage, safety or health code violations, and indoor air quality emergencies do not require submission to Governor and General Assembly. For all other projects, three project categories are available: Construction of new facilities or alteration existing facilities to provide mandatory instructional programs; enhancement of mandatory programs or provision of comparable facilities among schools at the same grade level within the district; and provision of supportive services excluding athletic or  recreational facilities.","State has conducted assessment, and required districts to assess.",Reimbursement depends on relative property and income wealth. 
Delaware,"Provides grant aid for construction, ranging from 80 percent to 60 percent of the cost. The state also provides 100 percent of funding for special education schools.",Prioritizes in order: 1. need for additional space or capacity; 2. safety issues; and 3. space for athletics and programs.,No requirement. ,Provides more funding for districts with lower-than-average property wealth per pupil.
Florida,Uses capital bond issues to finance capital projects. School districts receive state allocations for maintenance and repair based on student enrollment.   ,"Prioritizes remodeling, renovation, maintenance, repairs and site improvement for existing satisfactory facilities. Special Facility Construction projects must be deemed critical need and be recommended for funding. ",Districts are required to  complete a Five-Year District Facilities Work Plan.,The “Special Facility Construction Account” may fund school districts lacking sufficient resources to meet urgent construction needs. 
Georgia,Provides reimbursement for eligible construction projects through Capital Outlay Program. ,Prioritizes construction of elementary schools.,Districts are required to complete an assessment.,"Districts in the lowest 25 percent in earnings for sales tax revenue per full-time equivalent student, in property wealth per full-time equivalent student, and in earnings for special purpose local option sales tax revenue may apply for additional “low wealth” funding."
Hawaii,Hawaii is a single school district and funds projects directly.,"Currently prioritizes building age and condition, student demographics, building health and safety, and maintenance needs. Proposed priorities include: 1. Health and safety or condition; 2. compliance; 3. building capacity; 4. instructional impact; 5. Title I; 6. comprehensive support and improvement; 7. shared use; 8. other.  ",No requirement.,"The current formula accounts for four program areas: capacity, equity, program support, and condition. A new proposed prioritization criteria uses a weighted scoring metric that accounts for socioeconomic and academic needs."
Idaho,"Provides revenue for maintenance and operation, subsidies for bond repayment, and a fund for unsafe schools unable to approve bond levies for repair.",No prioritization specified. ,"State requirement, but few districts submit.","Bond Levy Equalization Support Program provides subsidies based on district property value, unemployment rate, and per capita income."
Illinois,"Provides grants to local school districts for approved projects, and 20 percent of funding is allocated to Chicago Public Schools. ",Prioritizes in order: 1. Repairing or replacing buildings destroyed or damaged by disasters; 2. alleviating a shortage of classrooms because of population growth or to replace or rehabilitate aging buildings; 3. supporting inter-district reorganization; 4. repairing or replacing buildings that are health or safety hazards; 5. providing accessibility for individuals with disabilities; 6. other unique solutions to facility needs. Eligibility is based on enrollment and needs of the district.,The State Board of Education and the Capital Development Board file a comprehensive needs assessment of all districts every two years ,Not applicable
