State,State Funding Types,State Prioritization,Facility Assessment Requirements,Equity Measures
Alabama,The state provides grants for capital construction using bond issues. ,"There are no statewide priorities, but each district develops a five-year capital plan.",Districts are required to conduct assessments.,None. 
Alaska,The state offers a grant program and debt reimbursement. Local contributions range from 2 to 35 percent for grants and from 30 to 40 percent for reimbursement.,"The state maintains two application lists: one for construction and one for maintenance. Projects are prioritized based on 18 evaluative criteria, including safety considerations, planning and design status, number of students in excess of capacity, and age of buildings. List rank is strongly influenced by facility condition and age. ",No requirement.,The state’s grant share amount is tied to the per student assessed property valuation in the municipality and in unincorporated areas.
Arizona,The state uses local school bonds and state grant funding.,The state bases new school funding eligibility on the annual evaluation and approval of district enrollment projections and the additional square footage needed to maintain adequacy standards.,The state has conducted an assessment and required districts to assess.,The funding amount is determined by grade level and by needed student capacity.
Arkansas,The state provides grant support though the Academic Facilities Partnership Program and shares costs with districts.,"The state prioritizes (in order) (1) new facilities, add-ons, or conversions needed for space; (2) “Warm, Safe, and Dry” space; (3) “Warm, Safe, and Dry” systems; and (4) consolidations and annexations.",Districts are required to conduct assessments.,"Cost sharing is determined by local district wealth, and the ranking incorporates building age and student population growth rate."
California,"The state provides matching grants for land purchases, buildings, and modernization. The state funds 50 percent of new construction and 60 percent of modernization efforts.","The state has a first-come, first-served policy. Eligibility is determined by enrollment projections or building age.",No requirement. ,The state offers hardship funding for districts with demonstrated financial or facility hardship and supplemental grants for small schools or schools in remote or difficult-to-contract areas.
Colorado,"The state provides matching grants based on such factors as district wealth, median household income, share of students receiving free and reduced-price lunch, bond capacity, and bond election history. The state matches at a 50 percent rate statewide.","Grant priorities are (in order) (1) safety or health concerns, including school facility security and incorporation of technology; (2) relief of overcrowding; (3) provision of career and technical education facilities; (4) removal of prohibited American Indian mascots; and (5) all other projects.",The state conducts assessments.,Districts with more students from low-income households or with lower property valuations get a higher state match rate.
Connecticut,"The state provides matching grants to local school districts between 10 and 70 percent for new construction and between 20 and 80 percent for renovations. Additional bonus reimbursement rates are provided for K–12 regional school districts, interdistrict ­­­cooperatives, school facilities, lighthouse schools, increasing seats for the interdistrict Open Choice program, reduction of K–3 class sizes, and full-day kindergarten in high-priority school districts and schools.","Catastrophic damage, safety or health code violations, and indoor air quality emergencies do not require submission to the governor and general assembly. For all other projects, three categories are available: construction of new facilities or alteration of existing facilities to provide mandatory instructional programs, enhancement of mandatory programs or provision of comparable facilities among schools at the same grade level within the district, and provision of supportive services, excluding athletic or recreational facilities.",The state has conducted assessments and required districts to assess.,Reimbursement depends on relative property and income wealth. 
Delaware,"The state provides grant aid for construction, ranging from 60 to 80 percent of the cost. The state also provides 100 percent of funding for special education schools.","The state prioritizes (in order) (1) need for additional space or capacity, (2) safety issues, and (3) space for athletics and programs.","No requirement. Legislation was recently passed to establish a facility assessment tool and inspection cycle by January 1, 2024",The state provides more funding for districts with lower-than-average property wealth per pupil.
Florida,The state uses capital bond issues to finance capital projects. School districts receive state allocations for maintenance and repair based on student enrollment.  ,"The state prioritizes remodeling, renovation, maintenance, repairs, and site improvement for existing satisfactory facilities. Special facility construction projects must be deemed a critical need and be recommended for funding. ",Districts are required to complete a Five-Year District Facilities Work Plan.,The Special Facility Construction Account may fund school districts lacking sufficient resources to meet urgent construction needs. 
Georgia,The state provides reimbursement for eligible construction projects through its Capital Outlay Program. ,The state prioritizes construction of elementary schools.,Districts are required to complete an assessment.,"Districts in the lowest 25 percent in earnings for sales tax revenue per full-time equivalent student, in property wealth per full-time equivalent student, and in earnings for special purpose local option sales tax revenue may apply for additional “low wealth” funding."
